task,split,chosen_threshold,math_best_threshold,precision,recall,f1,roc_auc,pr_auc,tp,fp,tn,fn
shortage,validation,0.2,0.4,0.7340823970037453,0.9127482051613738,0.81372351160444,0.9695744442919951,0.9060857251708535,28224,10224,105629,2698
shortage,test,0.2,0.4,0.722400498836555,0.9040042630937881,0.8030634758277894,0.9602188205680612,0.8918852656376984,47500,18253,147850,5044
