task,split,chosen_threshold,math_best_threshold,precision,recall,f1,roc_auc,pr_auc,tp,fp,tn,fn
full,validation,0.7,0.7,0.44249163079866094,0.8753547776726585,0.5878335451080051,0.9806430729657132,0.8118168110228748,3701,4663,137884,527
full,test,0.7,0.7,0.41655743359779235,0.8613409415121255,0.5615438270169728,0.9774821312246509,0.7922807364708684,6038,8457,203180,972
