task,baseline,split,precision,recall,f1,roc_auc,pr_auc,tp,fp,tn,fn
shortage,persistence,validation,0.8378562176165804,0.8367181941659659,0.8372868191967897,0.9505283828951194,0.8326900920244851,25873,5007,110846,5049
shortage,rule_based,validation,0.8378562176165804,0.8367181941659659,0.8372868191967897,0.9505283828951194,0.8326900920244851,25873,5007,110846,5049
shortage,persistence,test,0.8169051606028315,0.8170295371498173,0.8169673441424983,0.9411478530446302,0.8184140410062948,42930,9622,156481,9614
shortage,rule_based,test,0.8169051606028315,0.8170295371498173,0.8169673441424983,0.9411478530446302,0.8184140410062948,42930,9622,156481,9614
full,persistence,validation,0.7207207207207207,0.7190160832544938,0.7198673928486857,0.9537017256848724,0.675507295904541,3040,1178,141369,1188
full,rule_based,validation,0.7207207207207207,0.7190160832544938,0.7198673928486857,0.9537017256848724,0.675507295904541,3040,1178,141369,1188
full,persistence,test,0.6954720754177974,0.6945791726105564,0.6950253372350296,0.949331485261851,0.6495371426061893,4869,2132,209505,2141
full,rule_based,test,0.6954720754177974,0.6945791726105564,0.6950253372350296,0.949331485261851,0.6495371426061893,4869,2132,209505,2141
